ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-46239N|refseq:NP_060692|uniprotkb:Q9NVD7-1	DIP-46240N|refseq:NP_002850|uniprotkb:P49023-2	 -	-	-	-	MI:0077(nuclear magnetic resonance)|MI:0114(x-ray crystallography)|MI:0017(classical fluorescence spectroscopy)	-	pubmed:18940607|pubmed:DIP-11594S|pubmed:18940607|pubmed:DIP-11594S|pubmed:18940607|pubmed:DIP-11594S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88143E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-33217N|refseq:NP_037364|uniprotkb:O75340	DIP-33217N|refseq:NP_037364|uniprotkb:O75340	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:18940611|pubmed:DIP-11598S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88147E	dip-quality-status:core	dip:0004(small scale)		-
DIP-30997N|refseq:NP_057308|uniprotkb:Q9Y5X1	DIP-30997N|refseq:NP_057308|uniprotkb:Q9Y5X1	-	-	-	-	MI:0826(x ray scattering)|MI:0028(cosedimentation in solution)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:18940612|pubmed:DIP-11599S|pubmed:18940612|pubmed:DIP-11599S|pubmed:18940612|pubmed:DIP-11599S|pubmed:18940612|pubmed:DIP-11599S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88149E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-46254N|refseq:NP_109631|uniprotkb:Q9ESN6	 -	-	-	-	MI:0096(pull down)|MI:0808(comigration in sds page)	-	pubmed:18687884|pubmed:DIP-11603S|pubmed:18687884|pubmed:DIP-11603S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88163E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-31944N|refseq:NP_035040|uniprotkb:P08551	 -	-	-	-	MI:0808(comigration in sds page)|MI:0096(pull down)	-	pubmed:18687884|pubmed:DIP-11603S|pubmed:18687884|pubmed:DIP-11603S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-88165E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46261N|refseq:NP_055428|uniprotkb:Q96CS3	DIP-33543N|refseq:NP_009057|uniprotkb:P55072	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18711132|pubmed:DIP-11609S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88175E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46263N|uniprotkb:P14738	DIP-29547N|uniprotkb:P02751	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	-	pubmed:18713862|pubmed:DIP-11611S|pubmed:18713862|pubmed:DIP-11611S	taxid:93061(Staphylococcus aureus subsp. aureus NCTC 8325)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88177E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-41263N|refseq:NP_058708|uniprotkb:P31424	DIP-31794N|refseq:NP_001734|uniprotkb:P62158	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18715999|pubmed:DIP-11613S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88180E	dip-quality-status:core	dip:0004(small scale)		-
DIP-8N|refseq:NP_004439|uniprotkb:P04626	DIP-39785N|refseq:NP_005966|uniprotkb:Q13882	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18719096|pubmed:DIP-11615S|pubmed:18719096|pubmed:DIP-11615S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88190E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-41775N|refseq:NP_005309|uniprotkb:P07305	DIP-161N|refseq:NP_001789|uniprotkb:P24941	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:18719096|pubmed:DIP-11615S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-88191E	dip-quality-status:core	dip:0004(small scale)		-
DIP-39785N|refseq:NP_005966|uniprotkb:Q13882	DIP-39785N|refseq:NP_005966|uniprotkb:Q13882	-	-	-	-	MI:0424(protein kinase assay)	-	pubmed:18719096|pubmed:DIP-11615S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-88192E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46274N|uniprotkb:Q9HB63	DIP-46272N|uniprotkb:Q92859	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18719102|pubmed:DIP-11616S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88193E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46273N|refseq:NP_004813|uniprotkb:O95631	DIP-46276N|uniprotkb:O95185	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18719102|pubmed:DIP-11616S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88195E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46272N|uniprotkb:Q92859	DIP-46273N|refseq:NP_004813|uniprotkb:O95631	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18719102|pubmed:DIP-11616S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88197E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46277N|uniprotkb:Q149N8	DIP-29828N|uniprotkb:Q14527	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18719106|pubmed:DIP-11617S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88198E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46282N|uniprotkb:P03495	DIP-46281N|refseq:NP_006684|uniprotkb:O95639-1	 -	-	-	-	MI:0071(molecular sieving)|MI:0104(static light scattering)|MI:0114(x-ray crystallography)|MI:0096(pull down)	-	pubmed:18725644|pubmed:DIP-11624S|pubmed:18725644|pubmed:DIP-11624S|pubmed:18725644|pubmed:DIP-11624S|pubmed:18725644|pubmed:DIP-11624S	taxid:381517(Influenza A virus (strain A/Udorn/307/1972 H3N2))	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88208E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-41448N|refseq:NP_001562|uniprotkb:Q14653	DIP-41448N|refseq:NP_001562|uniprotkb:Q14653	-	-	-	-	MI:0028(cosedimentation in solution)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0071(molecular sieving)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:23746807|pubmed:DIP-16136S|pubmed:18725644|pubmed:DIP-11624S|pubmed:22728658|pubmed:DIP-15601S|pubmed:23746807|pubmed:DIP-16136S|pubmed:19416887|pubmed:DIP-12781S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88209E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46288N|uniprotkb:P14619	DIP-46287N|uniprotkb:O76074	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18757735|pubmed:DIP-11630S|pubmed:18757735|pubmed:DIP-11630S|pubmed:18757735|pubmed:DIP-11630S|pubmed:18757735|pubmed:DIP-11630S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88217E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46290N|uniprotkb:Q53S69	DIP-35138N|refseq:NP_003255|uniprotkb:O60603	 -	-	-	-	MI:0055(fluorescent resonance energy transfer)	-	pubmed:18765807|pubmed:DIP-11632S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88219E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46292N|refseq:NP_001642|uniprotkb:P55064	DIP-46292N|refseq:NP_001642|uniprotkb:P55064	-	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:18768791|pubmed:DIP-11634S|pubmed:18768791|pubmed:DIP-11634S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88222E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-32862N|refseq:NP_003365|uniprotkb:P21796	DIP-32862N|refseq:NP_003365|uniprotkb:P21796	-	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0030(cross-linking study)|MI:0077(nuclear magnetic resonance)	-	pubmed:18832158|pubmed:DIP-11644S|pubmed:18832158|pubmed:DIP-11644S|pubmed:18832158|pubmed:DIP-11644S|pubmed:18832158|pubmed:DIP-11644S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88236E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-34427N|refseq:NP_004480|uniprotkb:Q13227	DIP-46313N|refseq:NP_068804|uniprotkb:Q15466	 -	-	-	-	MI:0096(pull down)	-	pubmed:17895379|pubmed:DIP-11653S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88245E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46314N|refseq:NP_476474|uniprotkb:P97947	DIP-34427N|refseq:NP_004480|uniprotkb:Q13227	 -	-	-	-	MI:0096(pull down)	-	pubmed:17895379|pubmed:DIP-11653S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88247E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24184N|refseq:NP_004955|uniprotkb:Q13547	DIP-34427N|refseq:NP_004480|uniprotkb:Q13227	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17895379|pubmed:DIP-11653S|pubmed:17895379|pubmed:DIP-11653S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88249E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-24253N|refseq:NP_003874|uniprotkb:O15379	DIP-34427N|refseq:NP_004480|uniprotkb:Q13227	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17895379|pubmed:DIP-11653S|pubmed:17895379|pubmed:DIP-11653S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88250E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-24184N|refseq:NP_004955|uniprotkb:Q13547	DIP-46313N|refseq:NP_068804|uniprotkb:Q15466	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17895379|pubmed:DIP-11653S|pubmed:17895379|pubmed:DIP-11653S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88251E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46313N|refseq:NP_068804|uniprotkb:Q15466	DIP-24253N|refseq:NP_003874|uniprotkb:O15379	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17895379|pubmed:DIP-11653S|pubmed:17895379|pubmed:DIP-11653S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88252E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-1134N|uniprotkb:P49768	DIP-46245N|refseq:NP_612449|uniprotkb:Q6EMK4	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18942891|pubmed:DIP-11601S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88262E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-46340N|uniprotkb:Q8VSA1	 -	-	-	-	MI:0808(comigration in sds page)	-	pubmed:18997778|pubmed:DIP-11667S	taxid:9606(Homo sapiens)	taxid:623(Shigella flexneri)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88304E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-46341N|uniprotkb:Q8VSC3	 -	-	-	-	MI:0808(comigration in sds page)	-	pubmed:18997778|pubmed:DIP-11667S	taxid:9606(Homo sapiens)	taxid:623(Shigella flexneri)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88305E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29267N|refseq:NP_003330|uniprotkb:P62837	DIP-46341N|uniprotkb:Q8VSC3	 -	-	-	-	MI:0096(pull down)	-	pubmed:18997778|pubmed:DIP-11667S	taxid:9606(Homo sapiens)	taxid:623(Shigella flexneri)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88306E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46340N|uniprotkb:Q8VSA1	DIP-29267N|refseq:NP_003330|uniprotkb:P62837	 -	-	-	-	MI:0053(fluorescence polarization spectroscopy)	-	pubmed:18997778|pubmed:DIP-11667S	taxid:623(Shigella flexneri)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88307E	dip-quality-status:core	dip:0004(small scale)		-
DIP-43981N|refseq:NP_056251|uniprotkb:Q96PM5	DIP-29267N|refseq:NP_003330|uniprotkb:P62837	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:19043414|pubmed:DIP-11670S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88314E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-37519N|refseq:NP_068594|uniprotkb:Q9HC16	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18836454|pubmed:DIP-11672S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-88319E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46350N|refseq:NP_057851|uniprotkb:Q77YG0	DIP-37519N|refseq:NP_068594|uniprotkb:Q9HC16	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19887642|pubmed:DIP-12930S|pubmed:18836454|pubmed:DIP-11672S	taxid:11676(human immunodeficiency virus type 1, HIV-1)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88320E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46353N	DIP-472N|refseq:NP_005047|uniprotkb:P29375	 -	-	-	-	MI:0870(demethylase assay)	-	pubmed:18836456|pubmed:DIP-11673S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0871(demethylation reaction)	MI:0465(dip)	DIP-88323E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38005N|uniprotkb:O88508	DIP-34461N|uniprotkb:Q96KQ7	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18953337|pubmed:DIP-11676S|pubmed:18953337|pubmed:DIP-11676S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88328E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46371N|refseq:NP_000205|uniprotkb:P78504	DIP-29919N|refseq:NP_060087|uniprotkb:P46531	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0077(nuclear magnetic resonance)|MI:0107(surface plasmon resonance)	-	pubmed:18660822|pubmed:DIP-11684S|pubmed:18660822|pubmed:DIP-11684S|pubmed:18660822|pubmed:DIP-11684S|pubmed:18660822|pubmed:DIP-11684S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88348E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46377N|refseq:NP_077804	DIP-44158N|refseq:NP_066014|uniprotkb:Q9HCE1	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18552826|pubmed:DIP-11688S|pubmed:18552826|pubmed:DIP-11688S	taxid:12475(Hepatitis delta virus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88355E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46380N|refseq:NP_112027|uniprotkb:Q9IH62	DIP-46378N|refseq:NP_004084|uniprotkb:P52799	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0107(surface plasmon resonance)	-	pubmed:18488039|pubmed:DIP-11691S|pubmed:18488039|pubmed:DIP-11691S|pubmed:18488039|pubmed:DIP-11691S|pubmed:18488039|pubmed:DIP-11691S	taxid:121791(Nipah virus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88359E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46379N|refseq:NP_047112|uniprotkb:O89343	DIP-46378N|refseq:NP_004084|uniprotkb:P52799	 -	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)	-	pubmed:18488039|pubmed:DIP-11691S|pubmed:18488039|pubmed:DIP-11691S	taxid:63330(Hendra virus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88361E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-33123N|refseq:NP_004990|uniprotkb:Q9UM54	DIP-33123N|refseq:NP_004990|uniprotkb:Q9UM54	-	-	-	-	MI:0826(x ray scattering)|MI:0071(molecular sieving)|MI:0067(light scattering)	-	pubmed:18511944|pubmed:DIP-11693S|pubmed:18511944|pubmed:DIP-11693S|pubmed:18511944|pubmed:DIP-11693S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88363E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46388N|refseq:NP_003183|uniprotkb:Q15814	DIP-29025N|refseq:NP_062692|uniprotkb:Q9WUL7	 -	-	-	-	MI:0415(enzymatic study)	-	pubmed:18376416|pubmed:DIP-11699S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88376E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29686N|refseq:NP_001092|uniprotkb:P60709	DIP-46330N|refseq:NP_704856|uniprotkb:Q8I2J4	 -	-	-	-	MI:0028(cosedimentation in solution)	-	pubmed:19000816|pubmed:DIP-11660S	taxid:9606(Homo sapiens)	taxid:36329(Plasmodium falciparum 3D7)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88293E	dip-quality-status:core	dip:0004(small scale)		-
DIP-30N|refseq:NP_005013|uniprotkb:P07737	DIP-29686N|refseq:NP_001092|uniprotkb:P60709	 -	-	-	-	MI:0028(cosedimentation in solution)	-	pubmed:19000816|pubmed:DIP-11660S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88294E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46348N|uniprotkb:Q13568	DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0065(isothermal titration calorimetry)|MI:0071(molecular sieving)	-	pubmed:18836453|pubmed:DIP-11671S|pubmed:18836453|pubmed:DIP-11671S|pubmed:18836453|pubmed:DIP-11671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88315E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-30000N|uniprotkb:Q9UBC3	DIP-34461N|uniprotkb:Q96KQ7	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18953337|pubmed:DIP-11676S|pubmed:18953337|pubmed:DIP-11676S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88329E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-36659N|refseq:NP_062696|uniprotkb:Q9D0J4	DIP-29024N|refseq:NP_008846|uniprotkb:O75695	 -	-	-	-	MI:0415(enzymatic study)	-	pubmed:18376416|pubmed:DIP-11699S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88377E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-46397N|uniprotkb:Q8ZNR3	 -	-	-	-	MI:0808(comigration in sds page)	-	pubmed:18066077|pubmed:DIP-11704S	taxid:9606(Homo sapiens)	taxid:602(Salmonella typhimurium)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88385E	dip-quality-status:core	dip:0004(small scale)		-
DIP-6124N|refseq:NP_003338|uniprotkb:P68036	DIP-46397N|uniprotkb:Q8ZNR3	 -	-	-	-	MI:0053(fluorescence polarization spectroscopy)|MI:0096(pull down)	-	pubmed:18066077|pubmed:DIP-11704S|pubmed:18066077|pubmed:DIP-11704S	taxid:9606(Homo sapiens)	taxid:602(Salmonella typhimurium)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88386E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46403N|uniprotkb:P0A2M9	DIP-519N|uniprotkb:P28482	 -	-	-	-	MI:0434(phosphatase assay)	-	pubmed:18084305|pubmed:DIP-11708S	taxid:602(Salmonella typhimurium)	taxid:9606(Homo sapiens)	MI:0203(dephosphorylation reaction)	MI:0465(dip)	DIP-88393E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29372N|uniprotkb:O75164	DIP-46329N	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0114(x-ray crystallography)	-	pubmed:18084306|pubmed:DIP-11709S|pubmed:18084306|pubmed:DIP-11709S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88394E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46328N	DIP-29372N|uniprotkb:O75164	 -	-	-	-	MI:0065(isothermal titration calorimetry)	-	pubmed:18084306|pubmed:DIP-11709S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88395E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46407N|uniprotkb:Q99996-4	DIP-164N|refseq:NP_112269|uniprotkb:P26769	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18772391|pubmed:DIP-11712S|pubmed:18772391|pubmed:DIP-11712S|pubmed:18772391|pubmed:DIP-11712S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88398E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46410N|uniprotkb:Q8IWE5	DIP-46409N|refseq:NP_004242|uniprotkb:P51151	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18787122|pubmed:DIP-11714S|pubmed:18787122|pubmed:DIP-11714S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88402E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46410N|uniprotkb:Q8IWE5	DIP-46411N|uniprotkb:Q56061	 -	-	-	-	MI:0096(pull down)	-	pubmed:18787122|pubmed:DIP-11714S	taxid:9606(Homo sapiens)	taxid:602(Salmonella typhimurium)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88403E	dip-quality-status:core	dip:0004(small scale)		-
DIP-39879N|refseq:NP_004628|uniprotkb:P51149	DIP-29458N|refseq:NP_113618	 -	-	-	-	MI:0096(pull down)	-	pubmed:18787122|pubmed:DIP-11714S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88404E	dip-quality-status:core	dip:0004(small scale)		-
